Feature,Correlation
is_hit,1.0
revenue,0.4349780512702972
vote_count,0.40987371550173735
roi,0.39744016966592827
budget_final,0.3764470421635084
crew_size,0.26892844169437347
cast_size,0.2544199451383039
num_keywords,0.2135992567399807
popularity,0.21150901144637446
runtime,0.16684695555487725
vote_average,0.15439016379848353
num_genres,0.12695987689158234
num_production_companies,0.10609556953083964
