Metric,Full Features,Limited Features,Difference
Train Accuracy,1.0,0.8929561841375485,0.10704381586245149
Test Accuracy,0.9977827050997783,0.7727272727272727,0.22505543237250558
Train Precision,1.0,0.8873922413793104,0.11260775862068961
Test Precision,0.9956331877729258,0.7525150905432596,0.24311809722966615
Train Recall,1.0,0.9029605263157895,0.09703947368421051
Test Recall,1.0,0.8201754385964912,0.17982456140350878
Train F1,1.0,0.8951086956521739,0.10489130434782612
Test F1,0.9978118161925602,0.7848898216159497,0.21292199457661054
