feature,importance
budget_final,0.3548623248046632
popularity,0.18894545362122117
cast_size,0.09715927805856783
crew_size,0.0912903116766519
runtime,0.08929757318336075
vote_average,0.08495794194654561
release_month,0.040928678956435975
num_genres,0.027149429017658013
release_season,0.025409008734895516
